ID (REMOVE),SYMBOL,REW (Convert to Numbers),HGNC approved name,Pfam domains,HGNC gene family tag,HGNC gene family description,Function,Modification,Protein complex,Target molecule,Target entity,Product
10389,SCML2,Reader,sex comb on midleg-like 2 (Drosophila),"DUF3588 PF12140 353-468, MBT PF02820 67-139 176-244, SAM_1 PF00536 629-695",SAMD,Sterile alpha motif (SAM) domain containing,Polycomb group (PcG) protein,#,PRC1,#,#,#
22955,SCMH1,Reader,sex comb on midleg homolog 1 (Drosophila),"DUF3588 PF12140 355-469, MBT PF02820 62-134 171-239, SAM_1 PF00536 591-656",SAMD,Sterile alpha motif (SAM) domain containing,Polycomb group (PcG) protein,#,PRC1,#,#,#
5252,PHF1,Reader,PHD finger protein 1,"Mtf2_C PF14061 525-566, PHD PF00628 89-142, Pfam-B_18040 PB018040 1-30, Pfam-B_24844 PB024844 331-384","TDRD, PHF","Tudor domain containing, Zinc fingers, PHD-type",Polycomb group (PcG) protein,#,PRC2,#,#,#
8726,EED,Reader,embryonic ectoderm development,"Pfam-B_26038 PB026038 1-39, Pfam-B_6684 PB006684 265-359, WD40 PF00400 180-219 231-264",WDR,WD repeat domain containing,Polycomb group (PcG) protein,#,PRC2,#,#,#
84181,CHD6,Reader,chromodomain helicase DNA binding protein 6,"BRK PF07533 2400-2441, Chromo PF00385 292-354 375-429, Helicase_C PF00271 817-897, Pfam-B_18962 PB018962 1-49, Pfam-B_23619 PB023619 1691-1909, Pfam-B_71010 PB071010 1911-1953, Pfam-B_761 PB000761 1271-1333 1361-1519, SNF2_N PF00176 464-751",#,#,Chromatin remodeling,#,#,chromatin,#,#
546,ATRX,Reader,alpha thalassemia/mental retardation syndrome X-linked,"Helicase_C PF00271 2076-2155, Pfam-B_12326 PB012326 1906-2016, Pfam-B_14952 PB014952 1242-1362, Pfam-B_16104 PB016104 2368-2490, Pfam-B_16400 PB016400 1424-1474, Pfam-B_17163 PB017163 1364-1422, Pfam-B_19720 PB019720 751-889, Pfam-B_24253 PB024253 1181-1239, Pfam-B_3534 PB003534 45-304, SNF2_N PF00176 1563-1889",#,#,Chromatin remodeling,#,#,histone,"H3K9me2, H3K9me3, H3K4",#
7158,TP53BP1,Reader,tumor protein p53 binding protein 1,"53-BP1_Tudor PF09038 1483-1604, Pfam-B_14288 PB014288 1213-1356, Pfam-B_21507 PB021507 1-59, Pfam-B_24656 PB024656 1358-1386, Pfam-B_24892 PB024892 970-1000, Pfam-B_44 PB000044 528-565, Pfam-B_689 PB000689 567-698, Pfam-B_9132 PB009132 902-939, Pfam-B_9249 PB009249 1611-1967",#,#,Histone modification read,#,#,histone,"H4K79me2, H4K20me2",#
54454,ATAD2B,Reader,"ATPase family, AAA domain containing 2B","AAA PF00004 437-572, Bromodomain PF00439 967-1050, Pfam-B_11064 PB011064 896-932, Pfam-B_130965 PB130965 330-388",AATP,ATPases / AAA-type,Histone modification read,#,#,histone,"H1.4, H2A, H2B, H3 and H4",#
29028,ATAD2,Reader,"ATPase family, AAA domain containing 2","AAA PF00004 463-598, Bromodomain PF00439 993-1075, Pfam-B_11064 PB011064 870-958, Pfam-B_23116 PB023116 1-56, Pfam-B_40477 PB040477 57-79",AATP,ATPases / AAA-type,Chromatin remodeling,#,#,chromatin,#,#
8850,KAT2B,Reader,K(lysine) acetyltransferase 2B,"Acetyltransf_7 PF13508 541-624, Bromodomain PF00439 732-815, PCAF_N PF06466 74-327, Pfam-B_358817 PB358817 339-381",KAT,Chromatin-modifying enzymes / K-acetyltransferases,Histone modification write,Histone acetylation,#,histone,#,#
221656,KDM1B,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
221656,LSD2,Eraser,lysine (K)-specific demethylase 1B,"Amino_oxidase PF01593 392-820, zf-CW PF07496 137-192",KDM,Chromatin-modifying enzymes / K-demethylases,Histone modification erase,Histone methylation,#,histone,"H3K4me1, H3K4me2",H3K4
